"method","path","source","generic_auth_middleware","generic_idempotency_middleware","openapi_literal_or_parameter_match"
"POST","/v1/aletheia/warner","api/src/routes/aletheia.ts:179","","","false"
"GET","/v1/loops","api/src/routes/loops.ts:48","","","false"
"GET","/v1/loops/composition-graph","api/src/routes/loops.ts:107","","","false"
"GET","/v1/loops/factory","api/src/routes/loops.ts:147","","","false"
"GET","/v1/loops/:urn","api/src/routes/loops.ts:167","","","false"
"GET","/v1/mcp/agents/:did","api/src/routes/mcp-per-agent.ts:167","","","false"
"POST","/v1/mcp/agents/:did","api/src/routes/mcp-per-agent.ts:215","","","false"
"ALL","/v1/mcp","api/src/routes/mcp.ts:352","","","false"
"ALL","/v1/mcp/canon","api/src/routes/mcp.ts:352","","","false"
"OPTIONS","/.well-known/webfinger","api/src/routes/webfinger.ts:99","","","false"
"GET","/.well-known/webfinger","api/src/routes/webfinger.ts:105","","","true"
"HEAD","/.well-known/webfinger","api/src/routes/webfinger.ts:105","","","true"
"GET","/.well-known/","api/src/index.ts:810","","","false"
"GET","/.well-known/agent.json","api/src/routes/well-known.ts:138","","","true"
"HEAD","/.well-known/agent.json","api/src/routes/well-known.ts:138","","","true"
"GET","/.well-known/openai-apps-challenge","api/src/routes/well-known.ts:181","","","false"
"HEAD","/.well-known/openai-apps-challenge","api/src/routes/well-known.ts:181","","","false"
"GET","/.well-known/security.txt","api/src/routes/well-known.ts:199","","","false"
"HEAD","/.well-known/security.txt","api/src/routes/well-known.ts:199","","","false"
"GET","/.well-known/api-catalog","api/src/routes/well-known.ts:216","","","true"
"HEAD","/.well-known/api-catalog","api/src/routes/well-known.ts:216","","","true"
"GET","/.well-known/love-packages","api/src/routes/well-known.ts:245","","","false"
"GET","/.well-known/pyramid","api/src/routes/well-known.ts:268","","","false"
"GET","/.well-known/mcp/server-card.json","api/src/routes/well-known.ts:329","","","false"
"GET","/.well-known/wake-keystone","api/src/routes/well-known.ts:348","","","false"
